127.0.0.1 - - [18/Jul/2021:09:39:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/member/joinForm.jsp HTTP/1.1" 200 12472
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/images/pic08.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/member/images/HN_logo.png HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/images/pic07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/images/pic09.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:40 +0900] "GET /HN-OpenBanking/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:48 +0900] "GET /HN-OpenBanking/joinForm.do HTTP/1.1" 200 12472
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:48 +0900] "GET /HN-OpenBanking/images/HN_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2021:09:39:58 +0900] "GET /HN-OpenBanking/elements.html HTTP/1.1" 200 25373
